PID	Status	Label
1018	0	com.apple.audio.AudioComponentRegistrar
583	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
387	0	com.apple.lockoutagent
-	0	com.alfred.gateway-watchdog
-	0	com.apple.videosubscriptionsd
492	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
489	0	com.apple.notificationcenterui.agent
553	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
594	0	com.apple.imklaunchagent
445	0	com.apple.FileProvider
-	0	com.apple.imcore.imtransferagent
458	0	com.apple.mobiletimerd
-	0	com.apple.btsa
597	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	0	com.alfred.alfred-work-executor
67661	0	com.apple.EscrowSecurityAlert
418	0	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
549	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.alfred.kanban-stale-scan
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
934	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
428	0	com.apple.siriknowledged
-	0	com.apple.powerchime
496	0	com.apple.sharingd
580	0	com.apple.seserviced
-	0	com.apple.iCloudUserNotificationsd
55692	0	com.apple.metrickitd
-	0	com.apple.storeassetd
493	0	com.apple.familycircled
-	0	com.apple.FontRegistryUIAgent
67707	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
618	0	com.apple.TextInputSwitcher
450	0	com.apple.intelligentroutingd
63750	0	com.apple.AMPArtworkAgent
500	0	com.apple.imagent
-	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
517	0	com.apple.assistant_cdmd
890	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
67706	0	com.apple.imautomatichistorydeletionagent
404	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
374	0	com.apple.talagent
436	0	com.apple.suggestd
-	0	com.alfred.backup-tier2
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
548	0	com.apple.iCloudNotificationAgent
560	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
63746	0	com.apple.Maps.mapssyncd
84613	0	com.alfred.dashboard-nextjs
612	0	com.alfred.job-tracker
67705	0	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
400	0	com.apple.usernotificationsd
507	0	com.apple.FamilyControlsAgent
1371	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
376	0	com.apple.secd
379	0	com.apple.hiservices-xpcservice
63749	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
413	0	com.apple.assistantd
1360	0	com.apple.siriinferenced
956	0	com.apple.studentd
-	0	com.apple.FollowUpUI
528	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
499	0	com.apple.uikitsystemapp
-	0	com.apple.controlstrip
896	0	com.apple.financed
-	0	com.alfred.hal-backup
473	0	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
889	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
392	0	application.com.apple.Terminal.1152921500311911760.1152921500311911765
-	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
397	0	application.com.apple.MobileSMS.1152921500311887877.1152921500311887946
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
546	0	com.apple.scopedbookmarksagent.xpc
-	0	com.apple.ensemble
864	0	com.apple.ReportCrash
84912	0	com.apple.biomesyncd
55662	0	com.apple.ciphermld
1206	0	com.apple.UsageTrackingAgent
935	0	com.apple.email.maild
67745	0	com.apple.managedcorespotlightd.1B2607EF-B133-05AE-7C96-BA2CE9870875
465	0	com.apple.donotdisturbd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
-	0	com.apple.intelligencecontextd
939	0	application.com.electron.ollama.5475505.5475511.53956633-F98B-449F-A858-946C222F6859
396	0	application.com.apple.ActivityMonitor.1152921500311906413.1152921500311906418
-	0	com.ollama.keepalive
360	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
-	0	com.apple.helpd
408	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.alfred.backup-weekly
480	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
-	0	com.apple.passd
-	0	com.alfred.log-rotation
-	0	com.alfred.hal-idle-dispatch
-	0	com.alfred.session-watchdog
-	0	com.apple.DictationIM
435	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
64017	0	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
63748	0	com.apple.podcasts.PodcastContentService
441	0	com.apple.CoreAuthentication.agent
467	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
420	0	com.apple.chronod
586	0	com.apple.accessibility.heard
587	0	com.apple.corespeechd
2263	0	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
555	0	com.apple.itunescloudd
-	0	com.apple.scrod
488	0	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
64016	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
501	0	com.apple.milod
-	0	com.apple.bookdatastored
578	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
593	0	com.teamviewer.teamviewer
-	0	com.apple.XProtect.agent.scan.startup
561	0	com.apple.amsengagementd
2568	0	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
2809	0	com.apple.proactiveeventtrackerd
67740	0	com.apple.proactived
719	0	com.apple.ModelCatalogAgent
362	0	com.apple.universalaccessd
425	0	com.apple.linkd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
522	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.recentsd
1038	0	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
64840	0	com.apple.sirittsd
55663	0	com.apple.dprivacyd
389	0	com.apple.usernoted
683	0	com.apple.geodMachServiceBridge
-	0	com.apple.Safari.History
-	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
434	0	com.apple.calaccessd
